16:14:23.471 INFO  - initializing database
16:14:23.471 INFO  - loading database... 
16:14:23.593 INFO  - success

16:14:23.600 INFO  - No net-file given. No network will be imported.
16:14:23.600 INFO  - parsing route file
16:14:23.661 INFO  - no global route definitions found (probably per vehicle routes?)
16:14:23.661 INFO  - no vehicle definitions found
16:14:23.661 INFO  - 

16:14:23.669 INFO  - processing flow 6/72     edge 30/40
16:14:23.669 INFO  - processing flow 6/72     edge 31/40
16:14:23.669 INFO  - processing flow 6/72     edge 32/40
16:14:23.670 INFO  - processing flow 6/72     edge 33/40
16:14:23.670 INFO  - processing flow 6/72     edge 34/40
16:14:23.670 INFO  - processing flow 6/72     edge 35/40
16:14:23.670 INFO  - processing flow 6/72     edge 36/40
16:14:23.670 INFO  - processing flow 6/72     edge 37/40
16:14:23.670 INFO  - processing flow 6/72     edge 38/40
16:14:23.670 INFO  - processing flow 6/72     edge 39/40
16:14:23.670 INFO  - processing flow 6/72     edge 40/40
16:14:23.670 WARN  - vehicle with id f_r2ps_to_ikia has either no or an invalid starting time, assuming 0
16:14:23.670 INFO  - processing flow 7/72     
16:14:23.670 INFO  - processing flow 7/72     edge 1/50
16:14:23.670 INFO  - processing flow 7/72     edge 2/50
16:14:23.670 INFO  - processing flow 7/72     edge 3/50
16:14:23.670 INFO  - processing flow 7/72     edge 4/50
16:14:23.670 INFO  - processing flow 7/72     edge 5/50
16:14:23.670 INFO  - processing flow 7/72     edge 6/50
16:14:23.670 INFO  - processing flow 7/72     edge 7/50
16:14:23.670 INFO  - processing flow 7/72     edge 8/50
16:14:23.670 INFO  - processing flow 7/72     edge 9/50
16:14:23.670 INFO  - processing flow 7/72     edge 10/50
16:14:23.670 INFO  - processing flow 7/72     edge 11/50
16:14:23.670 INFO  - processing flow 7/72     edge 12/50
16:14:23.670 INFO  - processing flow 7/72     edge 13/50
16:14:23.670 INFO  - processing flow 7/72     edge 14/50
16:14:23.670 INFO  - processing flow 7/72     edge 15/50
16:14:23.670 INFO  - processing flow 7/72     edge 16/50
16:14:23.670 INFO  - processing flow 7/72     edge 17/50
16:14:23.670 INFO  - processing flow 7/72     edge 18/50
16:14:23.671 INFO  - processing flow 7/72     edge 19/50
16:14:23.671 INFO  - processing flow 7/72     edge 20/50
16:14:23.671 INFO  - processing flow 7/72     edge 21/50
16:14:23.671 INFO  - processing flow 7/72     edge 22/50
16:14:23.671 INFO  - processing flow 7/72     edge 23/50
16:14:23.671 INFO  - processing flow 7/72     edge 24/50
16:14:23.671 INFO  - processing flow 7/72     edge 25/50
16:14:23.671 INFO  - processing flow 7/72     edge 26/50
16:14:23.671 INFO  - processing flow 7/72     edge 27/50
16:14:23.671 INFO  - processing flow 7/72     edge 28/50
16:14:23.671 INFO  - processing flow 7/72     edge 29/50
16:14:23.671 INFO  - processing flow 7/72     edge 30/50
16:14:23.671 INFO  - processing flow 7/72     edge 31/50
16:14:23.671 INFO  - processing flow 7/72     edge 32/50
16:14:23.671 INFO  - processing flow 7/72     edge 33/50
16:14:23.671 INFO  - processing flow 7/72     edge 34/50
16:14:23.671 INFO  - processing flow 7/72     edge 35/50
16:14:23.671 INFO  - processing flow 7/72     edge 36/50
16:14:23.671 INFO  - processing flow 7/72     edge 37/50
16:14:23.671 INFO  - processing flow 7/72     edge 38/50
16:14:23.671 INFO  - processing flow 7/72     edge 39/50
16:14:23.671 INFO  - processing flow 7/72     edge 40/50
16:14:23.671 INFO  - processing flow 7/72     edge 41/50
16:14:23.671 INFO  - processing flow 7/72     edge 42/50
16:14:23.671 INFO  - processing flow 7/72     edge 43/50
16:14:23.671 INFO  - processing flow 7/72     edge 44/50
16:14:23.671 INFO  - processing flow 7/72     edge 45/50
16:14:23.671 INFO  - processing flow 7/72     edge 46/50
16:14:23.671 INFO  - processing flow 7/72     edge 47/50
16:14:23.671 INFO  - processing flow 7/72     edge 48/50
16:14:23.671 INFO  - processing flow 7/72     edge 49/50
16:14:23.671 INFO  - processing flow 7/72     edge 50/50
16:14:23.671 WARN  - vehicle with id f_r2ps_to_but has either no or an invalid starting time, assuming 0
16:14:23.671 INFO  - processing flow 8/72     
16:14:23.671 INFO  - processing flow 8/72     edge 1/90
16:14:23.671 INFO  - processing flow 8/72     edge 2/90
16:14:23.671 INFO  - processing flow 8/72     edge 3/90
16:14:23.671 INFO  - processing flow 8/72     edge 4/90
16:14:23.671 INFO  - processing flow 8/72     edge 5/90
16:14:23.671 INFO  - processing flow 8/72     edge 6/90
16:14:23.671 INFO  - processing flow 8/72     edge 7/90
16:14:23.671 INFO  - processing flow 8/72     edge 8/90
16:14:23.671 INFO  - processing flow 8/72     edge 9/90
16:14:23.671 INFO  - processing flow 8/72     edge 10/90
16:14:23.671 INFO  - processing flow 8/72     edge 11/90
16:14:23.671 INFO  - processing flow 8/72     edge 12/90
16:14:23.672 INFO  - processing flow 8/72     edge 13/90
16:14:23.672 INFO  - processing flow 8/72     edge 14/90
16:14:23.672 INFO  - processing flow 8/72     edge 15/90
16:14:23.672 INFO  - processing flow 8/72     edge 16/90
16:14:23.672 INFO  - processing flow 8/72     edge 17/90
16:14:23.672 INFO  - processing flow 8/72     edge 18/90
16:14:23.672 INFO  - processing flow 8/72     edge 19/90
16:14:23.672 INFO  - processing flow 8/72     edge 20/90
16:14:23.672 INFO  - processing flow 8/72     edge 21/90
16:14:23.672 INFO  - processing flow 8/72     edge 22/90
16:14:23.672 INFO  - processing flow 8/72     edge 23/90
16:14:23.672 INFO  - processing flow 8/72     edge 24/90
16:14:23.672 INFO  - processing flow 8/72     edge 25/90
16:14:23.672 INFO  - processing flow 8/72     edge 26/90
16:14:23.672 INFO  - processing flow 8/72     edge 27/90
16:14:23.672 INFO  - processing flow 8/72     edge 28/90
16:14:23.672 INFO  - processing flow 8/72     edge 29/90
16:14:23.672 INFO  - processing flow 8/72     edge 30/90
16:14:23.672 INFO  - processing flow 8/72     edge 31/90
16:14:23.672 INFO  - processing flow 8/72     edge 32/90
16:14:23.672 INFO  - processing flow 8/72     edge 33/90
16:14:23.672 INFO  - processing flow 8/72     edge 34/90
16:14:23.672 INFO  - processing flow 8/72     edge 35/90
16:14:23.672 INFO  - processing flow 8/72     edge 36/90
16:14:23.672 INFO  - processing flow 8/72     edge 37/90
16:14:23.672 INFO  - processing flow 8/72     edge 38/90
16:14:23.672 INFO  - processing flow 8/72     edge 39/90
16:14:23.672 INFO  - processing flow 8/72     edge 40/90
16:14:23.672 INFO  - processing flow 8/72     edge 41/90
16:14:23.672 INFO  - processing flow 8/72     edge 42/90
16:14:23.672 INFO  - processing flow 8/72     edge 43/90
16:14:23.672 INFO  - processing flow 8/72     edge 44/90
16:14:23.672 INFO  - processing flow 8/72     edge 45/90
16:14:23.672 INFO  - processing flow 8/72     edge 46/90
16:14:23.672 INFO  - processing flow 8/72     edge 47/90
16:14:23.672 INFO  - processing flow 8/72     edge 48/90
16:14:23.672 INFO  - processing flow 8/72     edge 49/90
16:14:23.672 INFO  - processing flow 8/72     edge 50/90
16:14:23.672 INFO  - processing flow 8/72     edge 51/90
16:14:23.672 INFO  - processing flow 8/72     edge 52/90
16:14:23.672 INFO  - processing flow 8/72     edge 53/90
16:14:23.672 INFO  - processing flow 8/72     edge 54/90
16:14:23.672 INFO  - processing flow 8/72     edge 55/90
16:14:23.672 INFO  - processing flow 8/72     edge 56/90
16:14:23.672 INFO  - processing flow 8/72     edge 57/90
16:14:23.672 INFO  - processing flow 8/72     edge 58/90
16:14:23.672 INFO  - processing flow 8/72     edge 59/90
16:14:23.672 INFO  - processing flow 8/72     edge 60/90
16:14:23.672 INFO  - processing flow 8/72     edge 61/90
16:14:23.672 INFO  - processing flow 8/72     edge 62/90
16:14:23.672 INFO  - processing flow 8/72     edge 63/90
16:14:23.672 INFO  - processing flow 8/72     edge 64/90
16:14:23.672 INFO  - processing flow 8/72     edge 65/90
16:14:23.672 INFO  - processing flow 8/72     edge 66/90
16:14:23.672 INFO  - processing flow 8/72     edge 67/90
16:14:23.673 INFO  - processing flow 8/72     edge 68/90
16:14:23.673 INFO  - processing flow 8/72     edge 69/90
16:14:23.673 INFO  - processing flow 8/72     edge 70/90
16:14:23.673 INFO  - processing flow 8/72     edge 71/90
16:14:23.673 INFO  - processing flow 8/72     edge 72/90
16:14:23.673 INFO  - processing flow 8/72     edge 73/90
16:14:23.673 INFO  - processing flow 8/72     edge 74/90
16:14:23.673 INFO  - processing flow 8/72     edge 75/90
16:14:23.673 INFO  - processing flow 8/72     edge 76/90
16:14:23.673 INFO  - processing flow 8/72     edge 77/90
16:14:23.673 INFO  - processing flow 8/72     edge 78/90
16:14:23.673 INFO  - processing flow 8/72     edge 79/90
16:14:23.673 INFO  - processing flow 8/72     edge 80/90
16:14:23.673 INFO  - processing flow 8/72     edge 81/90
16:14:23.673 INFO  - processing flow 8/72     edge 82/90
16:14:23.673 INFO  - processing flow 8/72     edge 83/90
16:14:23.673 INFO  - processing flow 8/72     edge 84/90
16:14:23.673 INFO  - processing flow 8/72     edge 85/90
16:14:23.673 INFO  - processing flow 8/72     edge 86/90
16:14:23.673 INFO  - processing flow 8/72     edge 87/90
16:14:23.673 INFO  - processing flow 8/72     edge 88/90
16:14:23.673 INFO  - processing flow 8/72     edge 89/90
16:14:23.673 INFO  - processing flow 8/72     edge 90/90
16:14:23.673 WARN  - vehicle with id f_r2ps_to_alpha has either no or an invalid starting time, assuming 0
16:14:23.673 INFO  - processing flow 9/72     
16:14:23.673 INFO  - processing flow 9/72     edge 1/89
16:14:23.673 INFO  - processing flow 9/72     edge 2/89
16:14:23.673 INFO  - processing flow 9/72     edge 3/89
16:14:23.673 INFO  - processing flow 9/72     edge 4/89
16:14:23.673 INFO  - processing flow 9/72     edge 5/89
16:14:23.673 INFO  - processing flow 9/72     edge 6/89
16:14:23.673 INFO  - processing flow 9/72     edge 7/89
16:14:23.673 INFO  - processing flow 9/72     edge 8/89
16:14:23.673 INFO  - processing flow 9/72     edge 9/89
16:14:23.673 INFO  - processing flow 9/72     edge 10/89
16:14:23.673 INFO  - processing flow 9/72     edge 11/89
16:14:23.673 INFO  - processing flow 9/72     edge 12/89
16:14:23.673 INFO  - processing flow 9/72     edge 13/89
16:14:23.673 INFO  - processing flow 9/72     edge 14/89
16:14:23.673 INFO  - processing flow 9/72     edge 15/89
16:14:23.673 INFO  - processing flow 9/72     edge 16/89
16:14:23.673 INFO  - processing flow 9/72     edge 17/89
16:14:23.673 INFO  - processing flow 9/72     edge 18/89
16:14:23.673 INFO  - processing flow 9/72     edge 19/89
16:14:23.673 INFO  - processing flow 9/72     edge 20/89
16:14:23.673 INFO  - processing flow 9/72     edge 21/89
16:14:23.673 INFO  - processing flow 9/72     edge 22/89
