16:10:39.004 INFO  - initializing database
16:10:39.007 INFO  - parsing net file
16:10:39.162 INFO  - checking existing routes
16:10:39.162 INFO  - no route file for import given, ignoring!
16:10:39.576 INFO  - Saving 3090 nodes...
16:10:39.617 INFO  - Saving 1832 ways...
16:10:39.669 INFO  - Saving 1832 connections...
16:10:39.724 INFO  - Saving 849 restrictions...
16:10:39.750 INFO  - Saving 0 routes...
16:10:39.750 INFO  - Saving 0 roundabouts...
16:10:39.751 INFO  - Saving 0 buildings...
16:10:39.751 INFO  - Create Indices
16:10:39.789 INFO  - Database saved
16:10:39.789 INFO  - finished
